Date,Close,Open,High,Low,Volume
2017-01-18,878.98,892.54,901.99,851.39,2920.75606754
2017-01-17,880.22,852.77,916.89,852.77,4659.73590766
2017-01-16,832.17,836.58,852.78,822.53,933.0780245
2017-01-15,817.29,827.85,837.56,812.0,538.6778894409999
2017-01-14,834.12,819.27,835.0,815.0,560.13913161
2017-01-13,817.13,790.1,839.78,777.91,3878.57791582
2017-01-12,794.89,776.02,832.15,756.01,3659.89742792
2017-01-11,798.51,913.98,924.02,752.0,8061.82807048
2017-01-10,903.98,907.51,913.99,900.38,2220.92915048
2017-01-09,902.18,891.83,913.99,880.5,3440.08980958
2017-01-08,910.99,918.39,940.1,880.51,1386.49477416
2017-01-07,889.15,839.53,919.16,820.99,2014.4812354000003
2017-01-06,916.0,987.95,989.27,825.0,5809.62056348
2017-01-05,993.17,1146.0,1167.16,879.0,6731.51230086
2017-01-04,1086.39,1049.37,1155.54,1049.37,3406.99912497
2017-01-03,1018.9,1028.38,1049.49,1014.06,2249.55767093
2017-01-02,1027.66,1010.6,1035.9,995.1,1722.37847544
2017-01-01,984.2,967.8,1014.98,965.0,1104.88372294
2018-12-31,3781.74,3784.93,3820.5,3577.18,4510.7701400594
2018-12-30,3801.19,3734.9,3864.93,3727.18,2244.691234896
2018-12-29,3870.0,3884.25,3937.21,3691.01,3093.9308697459996
2018-12-28,3851.76,3598.01,3965.23,3576.04,5332.2495233571
2018-12-27,3739.56,3738.44,3775.99,3567.86,5975.492571193101
2018-12-26,3729.08,3834.03,3842.27,3688.04,3785.2280504661
2018-12-25,3732.02,3736.31,3863.82,3680.0,3950.8711267926
2018-12-24,4024.0,4175.0,4238.33,3725.0,6513.6449807093
2018-12-23,3929.92,4006.69,4213.0,3910.0,3476.4574095497996
2018-12-22,3829.08,3821.27,4031.09,3790.27,2846.2922831877004
2018-12-21,3970.02,4042.87,4091.38,3773.13,8097.7629141065
2018-12-20,4020.72,3720.33,4200.0,3677.0,12980.0803398881
2018-12-19,3770.75,3749.03,3922.6,3650.79,9680.439473267099
2018-12-18,3510.83,3532.09,3776.6,3432.38,8002.202016448101
2018-12-17,3399.99,3202.08,3584.99,3195.45,8411.9845930892
2018-12-16,3208.13,3235.63,3263.05,3181.51,1198.1611476254
2018-12-15,3140.77,3219.68,3243.79,3126.88,3360.1337025390003
2018-12-14,3233.25,3250.01,3280.59,3136.46,5027.5009676347
2018-12-13,3395.65,3387.85,3413.0,3202.43,6063.1261924824
2018-12-12,3452.44,3338.13,3486.0,3330.08,5289.2438108262
2018-12-11,3322.86,3385.34,3426.68,3295.01,3742.9134439276
2018-12-10,3409.44,3534.0,3540.33,3357.56,5034.467669661501
2018-12-09,3559.46,3398.56,3641.28,3373.71,3868.3449707166997
2018-12-08,3359.13,3390.33,3459.0,3254.62,3305.1477736856
2018-11-15,5446.34,5562.01,5608.35,5200.0,6774.7824985636
2018-11-14,6066.78,6264.0,6297.66,5290.0,14483.0756410575
2018-11-13,6283.88,6295.74,6311.13,6239.48,1718.7030451024
2018-11-12,6353.12,6357.1,6368.3,6250.0,1180.0002283326
2018-11-11,6306.81,6348.99,6382.25,6275.0,538.1172093952999
2018-11-10,6363.98,6347.63,6369.99,6333.0,425.1805875169
2018-11-09,6343.4,6398.85,6408.89,6312.0,1184.1525322553
2018-11-08,6452.78,6442.9,6486.53,6390.01,3066.5099703543
2018-11-07,6496.26,6508.33,6521.99,6440.0,3168.2488272542
2018-11-06,6425.0,6385.95,6540.0,6384.75,4372.1124101022
2018-11-05,6405.18,6407.91,6421.0,6368.49,3278.0847284415004
2018-11-04,6426.29,6332.47,6453.22,6320.5,1686.1622260464
2018-11-03,6328.99,6339.18,6345.34,6318.11,332.5809477202
2018-11-02,6356.99,6356.05,6369.99,6330.0,1661.7537761119
2018-11-01,6298.01,6293.93,6380.0,6281.91,2422.6458524639
2018-10-31,6325.84,6264.54,6346.94,6200.0,3390.1202980636
2018-10-30,6262.87,6270.64,6287.56,6238.94,3298.2727315936
2018-10-29,6278.71,6405.45,6405.99,6200.0,3589.0334499144
2018-10-28,6399.87,6405.99,6418.97,6387.64,482.2657068585
2018-10-27,6393.53,6416.15,6418.01,6388.06,450.75870527
2018-10-26,6394.94,6388.46,6450.0,6375.0,2764.6689360786
2018-10-25,6392.03,6390.51,6419.07,6379.03,2727.8628174868
2018-10-24,6412.2,6413.41,6465.68,6358.82,3634.0762769181
2018-10-23,6383.66,6392.27,6417.62,6350.1,3563.0559483244
2018-10-22,6391.89,6408.7,6426.24,6371.09,2982.2707839853997
2018-10-21,6445.0,6434.22,6449.97,6390.01,534.4444129089
2018-10-20,6395.37,6383.39,6386.34,6382.0,2.7016444
2018-10-19,6380.97,6383.39,6383.39,6383.39,0.0
2018-10-18,6438.61,6459.26,6459.64,6350.92,4597.2003299071
2018-10-17,6439.96,6444.08,6487.77,6406.98,1998.4620642276998
2018-10-16,6434.99,6423.27,6489.99,6390.1,2978.5895910389
2018-10-15,6389.77,6215.68,6769.0,6206.0,8948.7305104424
2018-10-14,6238.53,6225.0,6295.08,6149.88,2189.9002765045
2018-10-13,6207.99,6192.15,6245.97,6180.27,258.8745647516
2018-10-12,6230.0,6192.15,6192.15,6192.15,0.0
2018-10-11,6196.1,6226.22,6250.0,6102.05,3275.28796745
2018-10-10,6494.0,6539.16,6557.18,6026.09,5005.4943377726
2018-10-09,6569.98,6606.13,6611.66,6521.7,2148.3004937745
2018-10-08,6618.92,6557.02,6655.0,6538.14,2084.5215517461997
2018-10-07,6538.49,6560.0,6589.98,6499.01,644.1750748818
2018-10-06,6550.0,6565.01,6585.07,6530.34,307.2265415099
2018-10-05,6546.52,6538.83,6638.0,6520.0,1177.0258348517
2018-10-04,6540.01,6553.59,6590.0,6503.31,1688.2676809748998
2018-10-03,6469.55,6422.48,6600.0,6396.39,2391.8441571781
2018-10-02,6527.55,6572.0,6585.6,6400.0,1756.2169738942002
2018-10-01,6545.24,6625.35,6629.96,6482.05,2283.9820987005
2018-09-30,6589.26,6564.74,6644.01,6525.0,924.6348210367
2018-09-29,6566.26,6588.75,6610.0,6457.1,547.0642345368
2018-09-28,6651.24,6691.97,6691.97,6691.97,0.0
2018-09-27,6484.63,6487.99,6732.99,6425.84,2704.7969858253
2018-09-26,6528.92,6384.29,6536.33,6382.55,2401.9829564326
